Dividends,Date,Quarterly EPS,date,quarter_year,payout
1.02,12/31/2024,1.79,12/31/2024,2024-Q4,56.98
1.02,9/30/2024,1.34,9/30/2024,2024-Q3,76.12
0.98,6/30/2024,2.21,6/30/2024,2024-Q2,44.34
0.98,3/31/2024,1.21,3/31/2024,2024-Q1,80.99
0.98,12/31/2023,1.16,12/31/2023,2023-Q4,84.48
0.98,9/30/2023,1.22,9/30/2023,2023-Q3,80.33
0.94,6/30/2023,1.19,6/30/2023,2023-Q2,78.99
0.94,3/31/2023,1,3/31/2023,2023-Q1,94
0.94,12/31/2022,1.5,12/31/2022,2022-Q4,62.67
0.94,9/30/2022,0.12,9/30/2022,2022-Q3,783.33
0.9,6/30/2022,0.49,6/30/2022,2022-Q2,183.67
0.9,3/31/2022,1.08,3/31/2022,2022-Q1,83.33
0.9,12/31/2021,0.89,12/31/2021,2021-Q4,101.12
0.9,9/30/2021,-1.48,9/30/2021,2021-Q3,-60.81
0.86,6/30/2021,1.16,6/30/2021,2021-Q2,74.14
0.86,3/31/2021,0.77,3/31/2021,2021-Q1,111.69
0.86,12/31/2020,1.04,12/31/2020,2020-Q4,82.69
0.86,9/30/2020,-0.51,9/30/2020,2020-Q3,-168.63
0.84,6/30/2020,1.04,6/30/2020,2020-Q2,80.77
0.84,3/31/2020,0.83,3/31/2020,2020-Q1,101.2
0.84,12/31/2019,-0.98,12/31/2019,2019-Q4,-85.71
0.84,9/30/2019,-1.39,9/30/2019,2019-Q3,-60.43
0.8,6/30/2019,1.07,6/30/2019,2019-Q2,74.77
0.8,3/31/2019,0.6,3/31/2019,2019-Q1,133.33
0.8,12/31/2018,0.66,12/31/2018,2018-Q4,121.21
0.8,9/30/2018,1.03,9/30/2018,2018-Q3,77.67
0.7,6/30/2018,0.99,6/30/2018,2018-Q2,70.71
0.7,3/31/2018,1,3/31/2018,2018-Q1,70
0.66,12/31/2017,2.59,12/31/2017,2017-Q4,25.48
0.66,9/30/2017,0.97,9/30/2017,2017-Q3,68.04
0.61,6/30/2017,1.03,6/30/2017,2017-Q2,59.22
0.61,3/31/2017,0.72,3/31/2017,2017-Q1,84.72
0.61,12/31/2016,5.26,12/31/2016,2016-Q4,11.6
0.61,9/30/2016,0.56,9/30/2016,2016-Q3,108.93
0.565,6/30/2016,0.84,6/30/2016,2016-Q2,67.26
0.565,3/31/2016,0.62,3/31/2016,2016-Q1,91.13
0.565,12/31/2015,0.63,12/31/2015,2015-Q4,89.68
0.565,9/30/2015,0.78,9/30/2015,2015-Q3,72.44
0.52,6/30/2015,0.74,6/30/2015,2015-Q2,70.27
