index|industry|sector|Symbol|Score|Rank
4|Financial Services|Banks - Regional|FITB|0.8052682647933351|1
2|Financial Services|Banks - Regional|RF|0.7543571662743175|3
5|Financial Services|Banks - Regional|MTB|0.6384418010274235|4
8|Financial Services|Banks - Regional|PNC|0.6280917637655478|5
6|Financial Services|Banks - Regional|TFC|0.4867088649406333|6
3|Financial Services|Banks - Regional|HBAN|0.42631131306083897|7
1|Financial Services|Banks - Regional|CFG|0.4099530847029021|8
0|Financial Services|Banks - Regional|KEY|0.4|9
4|Financial Services|Banks - Diversified|JPM|0.7405655955171723|1
2|Financial Services|Banks - Diversified|WFC|0.65451976879497|2
0|Financial Services|Banks - Diversified|BK|0.6119474406405612|3
3|Financial Services|Banks - Diversified|BAC|0.545449226484317|4
1|Financial Services|Banks - Diversified|C|0.5248154201656992|5
10|Financial Services|Asset Management|BX|0.6565046487811739|1
3|Financial Services|Asset Management|TROW|0.4592657264260772|2
1|Financial Services|Asset Management|PFG|0.4470756096574818|3
0|Financial Services|Asset Management|BEN|0.4416558446763824|4
11|Financial Services|Asset Management|IVZ|0.4295770309100295|5
4|Financial Services|Asset Management|STT|0.4235113511409232|6
5|Financial Services|Asset Management|RJF|0.3755393189729541|7
2|Financial Services|Asset Management|NTRS|0.3425493471998625|8
6|Financial Services|Asset Management|AMP|0.3066887676605944|9
9|Financial Services|Asset Management|BLK|0.30039705448955456|10
7|Financial Services|Asset Management|APO|0.2955693664475504|11
8|Financial Services|Asset Management|KKR|0.2485162230486141|12
8|Energy|Oil & Gas E&P|COP|0.6160060216508865|1
2|Energy|Oil & Gas E&P|TPL|0.5795346300115606|2
6|Energy|Oil & Gas E&P|FANG|0.5206825825381562|3
9|Energy|Oil & Gas E&P|APA|0.49346318486816326|4
5|Energy|Oil & Gas E&P|OXY|0.485788654640238|5
4|Energy|Oil & Gas E&P|HES|0.3856285616152467|6
0|Energy|Oil & Gas E&P|CTRA|0.35965532204357265|7
3|Energy|Oil & Gas E&P|EQT|0.14090661637640509|8
7|Energy|Oil & Gas E&P|EOG|-046598125887168024|9
1|Energy|Oil & Gas E&P|DVN|-0.30054902666177463|10
0|Consumer Defensive|Packaged Foods|LW|0.6992547644292779|1
8|Consumer Defensive|Packaged Foods|KHC|0.495099049557714|2
5|Consumer Defensive|Packaged Foods|MKC|0.48688903489422064|3
4|Consumer Defensive|Packaged Foods|HRL|0.45598835182574843|4
2|Consumer Defensive|Packaged Foods|CPB|0.4465515889541056|5
7|Consumer Defensive|Packaged Foods|GIS|0.44194550636440433|6
1|Consumer Defensive|Packaged Foods|SJM|0.4049130980867708|7
3|Consumer Defensive|Packaged Foods|CAG|0.4|8
6|Consumer Defensive|Packaged Foods|K|0.3306085085441243|9
6|Consumer Defensive|Household & Personal Products|PG|0.8332473520989331|1
4|Consumer Defensive|Household & Personal Products|KMB|0.7686210088407658|2
3|Consumer Defensive|Household & Personal Products|KVUE|0.6751322888110826|3
5|Consumer Defensive|Household & Personal Products|CL|0.6605135159182297|4
0|Consumer Defensive|Household & Personal Products|CLX|0.5884451364689564|5
1|Consumer Defensive|Household & Personal Products|CHD|0.5300173891510843|6
2|Consumer Defensive|Household & Personal Products|EL|-3.2766624358203202|7
0|Consumer Cyclical|Restaurants|DPZ|0.6790977118512669|1
4|Consumer Cyclical|Restaurants|MCD|0.6266200586882804|2
1|Consumer Cyclical|Restaurants|DRI|0.5526172377391516|3
3|Consumer Cyclical|Restaurants|SBUX|0.5480671670908202|4
2|Consumer Cyclical|Restaurants|YUM|0.5070158429555761|5
1|Consumer Cyclical|Packaging & Containers|AVY|0.7187688741664577|1
0|Consumer Cyclical|Packaging & Containers|AMCR|0.7116323463883972|2
4|Consumer Cyclical|Packaging & Containers|SW|0.3407114624505929|3
3|Consumer Cyclical|Packaging & Containers|PKG|0.3367641820603524|4
2|Consumer Cyclical|Packaging & Containers|BALL|0.2753749924321707|5
5|Communication Services|Entertainment|FOX|0.8083691973521496|1
1|Communication Services|Entertainment|FOXA|0.7948098979171214|2
3|Communication Services|Entertainment|PARA|0.4|3
0|Communication Services|Entertainment|NWSA|0.291920791755777|4
4|Communication Services|Entertainment|NWS|0.27158179966538154|5
2|Communication Services|Entertainment|DIS|-1.454539601919747|6
3|Basic Materials|Specialty Chemicals|LYB|0.7315166922683052|1
7|Basic Materials|Specialty Chemicals|ECL|0.6548941885232873|2
8|Basic Materials|Specialty Chemicals|SHW|0.5709564867666266|3
0|Basic Materials|Specialty Chemicals|EMN|0.48200977028554437|4
9|Basic Materials|Specialty Chemicals|LIN|0.43554593051297774|5
4|Basic Materials|Specialty Chemicals|PPG|0.4174961888719676|6
5|Basic Materials|Specialty Chemicals|DD|0.4059181694865095|7
6|Basic Materials|Specialty Chemicals|APD|0.3496516013147302|8
1|Basic Materials|Specialty Chemicals|ALB|0.3356162587838526|9
2|Basic Materials|Specialty Chemicals|IFF|-1.1565268520532952|10
